hgnc_symbol,PFS  HR,PFS P-Value
SERPINA3,0.9091841637,0.0250
BNIPL,1.1826483859,0.0280
BTBD19,0.7421346705,0.0403
PRR34-AS1,1.520656317,0.0010
CBWD2,0.3855067154,0.0238
ITPRIPL1,0.7712073465,0.0163
METTL21A,0.5882338794,0.0488
MYADML,1.1212554286,0.0430
GPR155,0.5845276393,0.0002
DTX3L,0.6062049026,0.0039
PPM1L,1.6440981189,0.0091
MAGI1-IT1,1.2711409,0.0141
PQLC2L,1.1684048949,0.0171
JAKMIP1,0.8593417836,0.0262
MARVELD2,1.2313692129,0.0126
C7orf60,0.5975490428,0.0358
SBDSP1,0.5605762166,0.0093
RBM33,0.4358634504,0.0368
C8orf48,0.8020584228,0.0226
MIRLET7DHG,1.2719732667,0.0428
RIBC1,0.63320834,0.0017
CXorf38,0.4960457015,0.0209
FAM122B,0.4481285305,0.0038
FAM122C,0.6175786381,0.0281
CCDC67,0.6965399439,0.0039
TMTC2,0.7551710607,0.0377
C12orf50,0.843505933,0.0384
PPTC7,0.4727260257,0.0121
CCDC122,0.7698362261,0.0477
TMEM229B,0.7782206348,0.0421
TMEM30B,1.2461524777,0.0112
C15orf26,0.8113335087,0.0214
CSNK1A1P1,0.6751084554,0.0017
ODF3L1,0.8445567019,0.0395
ADAL,0.5671404126,0.0363
SLC16A11,0.8089025048,0.0149
TCEB3C,0.8766758578,0.0193
ZNF114,1.3672690715,0.0024
LGI4,0.818849471,0.0055
DENND1B,0.6346886416,0.0154
TDRD5,1.1193599046,0.0227
CYP4Z2P,1.1140715793,0.0455
SPRR4,1.0940288073,0.0353
SASS6,1.9780973978,0.0195
TTC24,0.817291386,0.0070
APOBEC3H,0.7026973304,0.0025
BBS12,0.6612251945,0.0123
MMAA,0.5688619809,0.0064
LIX1,0.7941622627,0.0190
ZNF92,0.650250584,0.0358
THAP5,0.6027601826,0.0140
CCDC71L,0.7595292444,0.0320
BHLHA15,0.8113997948,0.0042
ZNF800,0.5173171827,0.0067
CNBD1,0.8907811847,0.0426
COL22A1,0.9083764959,0.0348
NUDT4P2,0.7643108088,0.0125
DSTNP2,0.620675573,0.0251
NLRP6,0.7498984859,0.0029
SDR16C5,1.0953437296,0.0235
KRT78,1.0849582272,0.0423
DNAH10,0.758087488,0.0277
PAOX,0.6369195753,0.0025
UBR1,0.2758613682,0.0065
PATL2,0.7272118576,0.0040
NLRP7,0.857965777,0.0266
APOBEC3F,0.6410258558,0.0018
TEX37,0.7924693467,0.0149
TMEM17,0.7294716635,0.0160
C3orf67,0.8160464778,0.0163
TIGIT,0.778991165,0.0054
TIGD4,0.7017280133,0.0056
SMIM14,0.6028336485,0.0155
PRIMPOL,0.5021102365,0.0425
CCDC125,0.6488462118,0.0455
OSTCP1,0.7883990746,0.0376
KHDRBS2,0.8410564429,0.0075
CCDC171,1.7035076921,0.0002
FAM219A,0.4457399799,0.0115
SUSD3,0.7805225587,0.0105
SLC44A5,1.1363124179,0.0344
SAMD9L,0.7754251246,0.0130
OR5AK4P,0.8702697197,0.0395
SMTNL1,0.8067866607,0.0243
ZCCHC24,0.6398100774,<.0001
ENKUR,0.7607748899,0.0094
SLC37A2,1.3144584259,0.0499
TPCN2,1.2714323126,0.0370
CYB561A3,1.5441293495,0.0270
PPP1R32,0.6312606162,0.0160
GDPD4,0.77255836,0.0157
CBWD5,0.6071451242,0.0320
ZNF438,0.7001656041,0.0017
RASGEF1A,0.829069685,0.0337
GPR114,0.8132276279,0.0154
BEND6,0.7859867268,0.0276
RSPH9,0.6515798452,0.0039
HOXA11-AS,1.2384008736,0.0306
PPP1R35,0.6617589227,0.0206
RSBN1L,0.3633197461,0.0009
FBXL13,0.646607152,0.0394
NAPEPLD,0.671875256,0.0291
BEND7,0.7971609732,0.0182
ZNRF2,0.5607688243,0.0344
DEFB124,0.8088075676,0.0268
CNOT6L,0.5986665611,0.0232
STAC3,0.6438027659,0.0192
ZNF396,0.6632927817,0.0030
HCG27,0.6546845709,0.0027
TMEM244,0.834919306,0.0239
KCTD13,0.5457163996,0.0156
METAP1D,0.6839428236,0.0363
CXorf58,0.7974210466,0.0082
PHYHD1,1.5156059175,0.0010
OR2T6,1.297674638,0.0204
LCE5A,1.1031643749,0.0452
TMCO4,0.5917992501,0.0389
PLA2G4F,1.0813062611,0.0306
TXNDC8,0.8455981047,0.0293
MBLAC1,0.7649799046,0.0188
COL24A1,1.3489353777,0.0066
TCTEX1D2,0.7320628181,0.0301
PDZD9,1.6792023391,0.0235
C12orf79,0.6997945475,0.0020
STEAP1B,0.8783949239,0.0287
GLIPR1L1,0.7136247619,0.0256
WDR72,1.0975439689,0.0274
C9orf43,1.4183385133,0.0309
UTS2B,0.7592468871,0.0030
FAM133B,0.6838468145,0.0050
MDS2,0.8522321005,0.0257
TAS2R40,0.7340921168,0.0069
IL4I1,0.7728687811,0.0451
MAGI3,2.1084735964,0.0091
FDCSP,0.9061342321,0.0188
NAP1L5,0.6317905743,0.0086
RNU12,0.7821305978,0.0182
IGBP1P1,0.6028360704,0.0173
IFNL3,1.2622136923,0.0367
MKX,1.2074657903,0.0250
HECTD4,0.3421560428,0.0095
KSR2,0.8143476354,0.0033
ZDHHC22,1.2173902213,0.0460
IL21R-AS1,0.8539583086,0.0326
C16orf54,0.8080976917,0.0130
UBALD2,0.6408646007,0.0046
HEXDC,0.6197204311,0.0235
MILR1,0.6926445834,0.0050
SLC25A42,0.6158475688,0.0104
SLC9C2,0.8697041978,0.0196
STARD7-AS1,0.5540542982,0.0049
DNAJC5G,1.2058071303,0.0389
FBXW12,1.213580993,0.0270
PDCL3P4,0.5761049565,0.0023
C3orf70,0.7368101811,0.0034
CYP4V2,0.7269572856,0.0360
RPL34-AS1,0.8030818871,0.0275
RELL2,0.7273795384,0.0314
CNPY1,1.170020338,0.0354
SPDYE1,0.6250912977,0.0039
FAM115C,0.7858591406,0.0160
ZNF775,0.659126671,0.0146
XKR6,0.774872266,0.0367
OR13D1,0.8095217646,0.0284
LINC00632,1.0996053019,0.0206
KRTAP19-1,1.1024847524,0.0160
CSTF3-AS1,0.7965124209,0.0224
C12orf74,0.8784359959,0.0436
FAM92B,0.8105853267,0.0052
ENPP7,0.8531679333,0.0385
CCDC36,1.2307527818,0.0334
KY,1.3236172973,0.0039
GADL1,1.1427258489,0.0443
TRIML1,0.752376078,0.0080
C5orf66-AS2,1.2744146817,0.0207
ZC3H12D,0.7979930777,0.0187
MYLK4,0.6488942975,0.0001
CTAGE6,0.8052497876,0.0014
OVCH2,1.1646958041,0.0309
FREM2,0.8915683197,0.0148
NACA2,0.7262632496,0.0328
NCCRP1,1.1042105997,0.0381
ZNF677,1.3054089208,0.0286
NANOS3,0.7675216793,0.0043
HNRNPCL1,0.7520457206,0.0317
OR2W3,1.1164430157,0.0483
FCRL6,0.7727338149,0.0029
TMPRSS7,1.1622949067,0.0437
COL6A4P1,1.2264334316,0.0172
ATP13A5,1.1441777714,0.0099
FAM174A,0.5633962449,0.0151
OR6V1,0.8134511541,0.0086
GPR144,1.2065222392,0.0081
ITIH6,0.862707696,0.0005
ARSH,1.2291613847,0.0026
CATSPER3,0.6396966105,0.0030
FTCDNL1,0.7365047385,0.0235
LCE1A,1.1098690889,0.0154
LCE1B,1.0856527631,0.0224
LCE1C,1.0845304889,0.0463
LCE1D,1.1155042036,0.0416
LCE1E,1.1367385242,0.0244
LCE2A,1.1277212617,0.0083
LCE2C,1.0888503975,0.0272
MRPL42P5,0.5999010088,0.0017
FKBP9P1,0.7285594221,0.0068
GLT6D1,1.3010726679,0.0192
DND1,0.6907546429,0.0372
GALNT18,1.3714273483,0.0239
TBC1D10C,0.8025769969,0.0249
KRT77,1.074978297,0.0368
ANKRD30B,1.1139313748,0.0269
SBSN,1.0725638495,0.0429
PFN4,0.6627920063,0.0030
RBM43,0.5713073542,<.0001
TRIM73,0.7776118427,0.0027
SPATC1,0.7749349661,0.0151
RPS10P7,0.692595366,0.0434
ZC3H6,0.5059687837,0.0005
CATSPER4,1.2396297487,0.0115
SUMO4,0.7477119685,0.0230
CEP85L,0.5843538905,0.0083
GVINP1,0.8390917632,0.0432
C15orf59,1.1857245177,0.0264
SPATA41,1.2633288026,0.0384
CCL4,0.8140014181,0.0122
YPEL2,0.751537096,0.0306
POTEC,1.1312078028,0.0148
LYPLA2P2,0.7246501476,0.0170
CLEC17A,0.8662729639,0.0193
ZNF749,1.392888261,0.0209
GBP7,0.8288478732,0.0034
LINC01138,0.7456865606,0.0143
EFCAB8,1.2469027731,0.0420
TMEM247,0.7875205871,0.0134
TSPYL6,0.4769148057,<.0001
FUNDC2P2,0.7373431801,0.0094
ZNF662,1.2602044979,0.0323
C4orf50,0.8706324668,0.0298
ANXA2R,0.6849156147,0.0076
LIN28B,1.0899707371,0.0332
RBAKDN,1.2198938165,0.0396
GTF2IRD2B,0.7148527171,0.0417
XKR5,1.1293118708,0.0460
SPACA5,0.8167563591,0.0057
OR5AK2,0.8816241689,0.0395
GPR152,0.7862428673,0.0096
OR6C70,1.2196461933,0.0097
FRRS1,1.7151103402,0.0021
ELFN1,1.1997056055,0.0224
AGMO,0.8669677966,0.0064
OR2A5,1.1383471324,0.0474
SLC25A35,0.5998505281,0.0469
LINC00938,0.5295824911,<.0001
MKRN9P,0.803363424,0.0195
HERC2P2,0.7328420781,0.0249
NCMAP,0.846709204,0.0195
GBP1P1,0.8617908671,0.0397
IL17REL,0.8102717351,0.0099
ASB18,1.1574748097,0.0301
DTHD1,0.8218907264,0.0054
LINC00997,0.5546409711,0.0004
RASA4CP,0.7864837266,0.0197
PRRT4,1.2176659115,0.0013
C9orf139,0.7800795464,0.0130
FAM166A,1.2590148024,0.0281
SLC25A53,0.7906991966,0.0131
OR14I1,0.7673928081,0.0249
LINC01000,0.5939962258,0.0217
C7orf61,0.6540727671,0.0013
ZBTB34,3.0908363446,0.0003
MIRLET7F1,1.2417147323,0.0451
MIR10B,1.2663595362,0.0281
MIR140,0.795211123,0.0116
MIR154,1.2000520473,0.0405
MIR155,0.751775986,0.0175
MIR17,1.2378215228,0.0150
MIR185,1.3490059603,0.0027
MIR196A1,0.8380655221,0.0366
MIR199B,1.3047316311,0.0121
MIR19A,1.224514084,0.0362
MIR19B1,1.3003304369,0.0072
MIR211,1.1610133066,0.0018
MIR27B,1.1597681946,0.0389
MIR32,0.7713450044,0.0207
MIR92A1,1.2526537092,0.0038
MIR99A,1.2346918017,0.0211
MIR17HG,1.293692221,0.0395
NOMO3,0.7458500762,0.0267
TBC1D3B,0.7108143473,0.0010
CCL3L3,0.8369614435,0.0343
BLID,0.865196803,0.0192
PLEKHG7,0.7349798135,0.0128
GOLGA8B,0.700906389,0.0080
CATSPER2P1,0.7539706452,0.0173
HNRNPCL2,0.7210926192,0.0129
MINOS1,1.9264193514,0.0176
BCL2L15,0.7432104658,0.0462
ETV3L,0.7862194381,0.0224
MIAT,0.7772027315,0.0047
FAR2P1,1.1310857818,0.0367
MARCH11,1.2109773263,0.0451
C5orf56,0.7709177501,0.0120
LINC00266-3,0.836896619,0.0269
FAM26F,0.8341757433,0.0346
PMS2CL,0.4671065857,0.0001
RP9P,0.5911196508,0.0106
SPDYE3,0.532827199,0.0065
SPDYE2,0.7666370246,0.0119
SPATA31C1,1.1215159027,0.0277
WBP11P1,0.6888838913,0.0067
OR2W5,1.2240214561,0.0446
PTCHD4,0.860709005,0.0064
SPDYE5,0.58126405,<.0001
MIR369,1.1857639301,0.0422
C9orf129,1.2719340006,0.0199
COA5,0.5286854517,0.0198
TRIM72,1.1946608066,0.0461
SPRN,0.7893477095,0.0434
C8orf58,0.7291660528,0.0209
PRR5-ARHGAP8,1.4759446507,0.0004
ASPDH,0.8256808651,0.0391
LINC00862,0.8545035556,0.0499
MIR450A2,1.234875214,0.0498
UGT2A2,1.1416812997,0.0462
SERINC4,0.623931081,0.0490
FAM229B,0.7506641198,0.0444
RPL31P11,0.6941498689,0.0013
FAM110C,1.2343772182,0.0041
NPIPA3,0.6249329343,0.0201
ZNF487,0.7511928297,0.0235
FAM25A,1.0878738123,0.0145
CCT6P1,0.535888439,0.0209
ZNF862,0.6312890847,0.0166
PGA3,1.261073713,0.0017
CBLN3,0.7611345827,0.0280
ZCCHC18,0.7459643391,0.0204
INTS4P2,0.6355863048,0.0091
RAD21-AS1,1.4139365245,0.0414
FAM83G,1.3539133684,0.0088
FUT8-AS1,0.7514997907,0.0251
ARRDC5,0.8203332524,0.0252
MAGEB17,0.802193856,0.0108
C16orf90,0.8043114946,0.0414
FABP12,0.844060437,0.0263
IGF2BP2-AS1,0.8438897385,0.0189
SRGAP2B,0.5659929064,0.0032
GOLGA8S,0.661874285,0.0023
ZDHHC11B,1.4479943021,0.0004
ANXA8,1.0758203422,0.0424
PPIAL4B,0.7662626911,0.0145
WASH7P,0.6093481586,0.0068
TBC1D3P1-DHX40P1,0.7371034467,0.0153
FAM115D,0.7613474903,0.0055
OCM,0.6221738719,0.0002
SNORA11,0.8253135556,0.0366
SNORA36B,0.7235166338,0.0421
SNORD1B,1.4075440237,0.0095
CD27-AS1,0.7032694817,0.0191
SNORD70,0.6182350853,0.0062
SNORD71,0.6902789781,0.0165
SCARNA14,0.8465291223,0.0378
SNORD75,1.4487027908,0.0156
SNORD92,0.6826199373,0.0236
SNORD111,0.770962409,0.0348
MIR532,1.2244975671,0.0041
MIR548A1,0.8015556158,0.0317
MIR591,0.7623912617,0.0240
MIR600,1.2977548924,0.0302
MIR625,0.8118634567,0.0196
MIR627,0.7900305428,0.0333
MIR632,1.6664021483,0.0297
HIST2H2AA4,0.7810048293,0.0265
SNORD116-19,0.7699763673,0.0026
ROCK1P1,0.6483843605,0.0036
FAM133DP,0.6146820998,0.0002
RSPH10B2,0.8237850541,0.0194
SERF1B,0.7417403075,0.0319
CNTNAP3B,0.8414562812,0.0299
SDHAP3,0.4653399355,0.0046
SKP1P2,0.7415957997,0.0364
NPIPB8,0.6197934088,0.0040
NPIPB6,0.7102243107,0.0121
NSFP1,0.7131129589,0.0434
RPEL1,0.6894490158,0.0247
C1orf234,1.2232911156,0.0457
SPACA5B,0.824828581,0.0110
NUTM2B,0.7939028665,0.0225
SPDYE6,0.7514018839,0.0061
RPA3OS,0.4326489307,0.0002
TBC1D3H,0.7201881459,0.0002
ZNF726,1.3658709802,0.0361
LINC01347,0.7833983216,0.0328
LUZP6,0.5210187667,0.0113
SNORD114-3,1.1877206852,0.0277
RELL1,0.7027608561,0.0393
MIR802,1.2206527529,0.0088
SNORD116-1,0.8815310473,0.0240
SNORD116-2,0.7433413865,0.0029
SNORD116-3,0.8408828181,0.0135
SNORD116-6,0.8146102486,0.0210
SNORD116-8,0.799764235,0.0134
SNORD116-9,0.8408828181,0.0135
SNORD116-11,0.8140238124,0.0409
SNORD116-12,0.8273622763,0.0357
SNORD116-13,0.7992619308,0.0172
SNORD116-14,0.811885632,0.0283
SNORD116-15,0.7665518658,0.0103
SNORD116-16,0.7938301904,0.0052
SNORD116-17,0.7699763673,0.0026
SNORD116-22,0.7784998806,0.0036
SNORD116-23,0.7756399959,0.0012
SNORD116-24,0.7873520497,0.0134
SNORD116-25,0.7996859303,0.0095
SNORD116-26,0.7908954292,0.0200
SNORD116-27,0.8430721467,0.0309
SNORD116-28,0.7922606071,0.0282
SNORD116-29,0.7377541926,0.0056
ANKRD26P3,1.2593259105,0.0344
TMEM170B,0.7027348652,0.0390
MIR365A,1.1712501568,0.0442
GHRLOS,0.6620653234,0.0212
PLCE1-AS1,0.8175521466,0.0314
ACVR2B-AS1,1.3673436328,0.0012
LINC01531,1.1007586257,0.0428
C1orf68,1.0725038818,0.0319
DPY19L1P1,0.6543621035,0.0358
FAM47E,0.8236291707,0.0314
LINC01126,0.6028758432,0.0019
TMEM262,0.8115268249,0.0364
SMIM6,0.7758716504,0.0365
TMEM194B,0.6245793741,0.0118
MZF1-AS1,0.6905269038,0.0301
PET100,1.7923985898,0.0436
FCGR1C,0.8058791151,0.0014
KDM4A-AS1,2.0910819151,0.0070
GOLGA8DP,0.6285481167,0.0005
SBF1P1,0.8018810319,0.0355
MAP3K14-AS1,0.5718449538,0.0017
UBOX5-AS1,0.7887490422,0.0210
MEF2B,0.6076843343,0.0012
ZNRF2P2,0.7635145312,0.0147
ANAPC1P1,0.8191338521,0.0385
IL10RB-AS1,0.6639292506,0.0160
LIMS3L,0.7100962289,0.0087
UBAC2-AS1,1.2393153576,0.0480
HERC2P4,1.2146793077,0.0078
ZNF783,0.7443015989,0.0350
C4B_2,0.7722254588,0.0065
MIR1284,0.7748435691,0.0253
MIR1200,0.7331625978,0.0003
MIR1183,0.7519413611,0.0163
MIR320C1,0.7673235361,0.0245
MIR1296,0.703385334,0.0263
MIR1203,0.8161836,0.0189
MIR664A,0.7229301917,0.0418
BRE-AS1,1.6268046239,0.0343
GPR75-ASB3,0.2638342156,0.0017
NDUFAF4P1,0.742982794,0.0078
SPDYE2B,0.796321581,0.0106
ANKRD61,0.599299616,0.0382
SAP25,0.751064029,0.0323
GRIK1-AS2,0.7210250692,0.0061
MIR3184,1.2885969714,0.0260
LINC00987,0.5506741211,0.0005
MIR3658,1.312911843,0.0169
MIR3665,0.8108255535,0.0089
FGD5-AS1,0.5908535177,0.0406
STARD4-AS1,0.7608484092,0.0467
PRMT5-AS1,1.8366934815,0.0125
APTR,0.640303929,0.0480
ADD3-AS1,1.4266551367,0.0310
ARL17B,0.8272571939,0.0463
HSFX1,0.8115621912,0.0464
RAB30-AS1,1.2730986808,0.0480
OCLN,1.233353931,0.0092
JARID2-AS1,1.3058608895,0.0269
SLFN12L,0.8254068706,0.0320
AGAP1-IT1,1.3665413698,0.0023
MIR497HG,0.5802872745,0.0091
TTN-AS1,0.7044681828,0.0403
TCEB3-AS1,1.315737056,0.0155
TPBGL,1.3217726525,0.0121
MFI2-AS1,0.8654755298,0.0397
DLG1-AS1,1.4893731305,0.0484
RNF157-AS1,0.83797102,0.0061
LRP4-AS1,1.232137043,0.0120
PSMB8-AS1,0.753350855,0.0303
BHLHE40-AS1,0.6815659796,0.0234
NPIPB9,0.6292957169,0.0076
MSANTD3-TMEFF1,1.7516678964,0.0054
POC1B-GALNT4,0.6793321584,0.0323
KLRC4-KLRK1,0.7586914068,0.0031
ARMCX5-GPRASP2,0.7103385406,0.0415
MIA-RAB4B,0.816963764,0.0319
MINOS1-NBL1,1.3721759293,0.0251
C8orf44-SGK3,0.7143935667,0.0258
ZNF670-ZNF695,1.2089966968,0.0346
DYX1C1-CCPG1,0.6233404187,0.0350
P2RX5-TAX1BP3,0.6310599698,0.0457
APOC4-APOC2,1.1527819774,0.0181
MIR4673,0.6094125284,0.0097
MIR4749,0.6711506202,0.0246
MIR4743,1.2293500679,0.0350
MIR4746,0.7792836905,0.0313
TPTE2P5,1.9153747086,0.0231
FAM47E-STBD1,0.7058644058,0.0136
SNX29P1,0.7651882954,0.0156
MIR4444-2,1.4866849217,0.0072
MIR5193,0.7379027246,0.0496
ELMO1-AS1,0.7041205045,0.0088
DOCK9-AS2,1.3069175959,0.0135
RNU6-45P,1.2264055228,0.0384
HLTF-AS1,1.4638965031,0.0424
LMLN-AS1,0.7860024546,0.0495
SNRK-AS1,2.0118149009,0.0365
NAV2-AS2,1.2897420417,0.0392
DGUOK-AS1,0.7791634275,0.0066
RNASEH2B-AS1,0.8097098999,0.0111
RPS6KA2-IT1,1.3015349189,0.0233
NALCN-AS1,0.871130714,0.0415
ARL17A,0.8638232169,0.0274
SRGAP2D,0.758066594,0.0060
NPIPA7,0.5962169619,0.0033
NPIPA8,0.6983896247,0.0308
RHEBP2,0.7328324753,0.0442
PANDAR,0.5503339602,0.0003
LAMTOR5-AS1,1.3079079402,0.0197
STAG3L5P,0.6228125619,0.0113
STAG3L5P-PVRIG2P-PILRB,0.6312836491,0.0299
LINC01537,1.1834624606,0.0252
ARNTL2-AS1,0.7687279155,0.0129
KCNMA1-AS1,0.8517984538,0.0464
B4GALT1-AS1,0.7715974147,0.0229
MIR6731,0.8250785749,0.0208
MIR6737,1.3749566215,0.0388
MIR6782,1.3629973886,0.0170
MIR6791,1.2503544299,0.0191
MIR6792,1.219832952,0.0316
MIR6812,1.4218750691,0.0147
MIR6848,1.4972609745,0.0278
MIR6872,0.8310944051,0.0177
MIR6878,0.7241974772,0.0277
MIR6510,1.1163694655,0.0131
MIR6745,1.2996052132,0.0147
MIR6798,1.2533702452,0.0346
MIR7705,1.3131843175,0.0064
LINC01169,0.8484271291,0.0256
PPP2R3B,0.7014877702,0.0186
NPIPA3,0.6249329343,0.0201
LLPH-AS1,1.2487714506,0.0423
